login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,label
antenore,https://api.github.com/users/antenore,https://github.com/antenore,https://api.github.com/users/antenore/repos,148,13,7,13,"{'Shell', 'Ruby', 'Vim script', 'C', 'Python', 'Lua', 'CSS', 'TeX'}",Bad
LimeHat,https://api.github.com/users/LimeHat,https://github.com/LimeHat,https://api.github.com/users/LimeHat/repos,20,0,0,0,"{'Go', 'Makefile'}",Bad
cementhorses,https://api.github.com/users/cementhorses,https://github.com/cementhorses,https://api.github.com/users/cementhorses/repos,8,33,9,33,"{'Ruby', 'JavaScript'}",Average
tolnem,https://api.github.com/users/tolnem,https://github.com/tolnem,https://api.github.com/users/tolnem/repos,10,9,1,9,"{'Python', 'PHP', 'JavaScript'}",Bad
danielegozzi,https://api.github.com/users/danielegozzi,https://github.com/danielegozzi,https://api.github.com/users/danielegozzi/repos,5,21,4,21,"{'Shell', 'Ruby', 'JavaScript', 'Python', 'Go'}",Bad
pjo,https://api.github.com/users/pjo,https://github.com/pjo,https://api.github.com/users/pjo/repos,8,0,0,0,{'Ruby'},Bad
jinzhu,https://api.github.com/users/jinzhu,https://github.com/jinzhu,https://api.github.com/users/jinzhu/repos,5342,7339,724,7339,"{'Ruby', 'JavaScript', 'C', 'Go', 'Emacs Lisp'}",Excellent
sentientmonkey,https://api.github.com/users/sentientmonkey,https://github.com/sentientmonkey,https://api.github.com/users/sentientmonkey/repos,53,30,5,30,"{'TypeScript', 'Racket', 'Ruby', 'JavaScript', 'C', 'Haskell', 'HaXe', 'Go', 'Emacs Lisp'}",Average
Soulsbane,https://api.github.com/users/Soulsbane,https://github.com/Soulsbane,https://api.github.com/users/Soulsbane/repos,23,0,1,0,"{'D', 'JavaScript', 'Go', 'Rust'}",Bad
kozmic,https://api.github.com/users/kozmic,https://github.com/kozmic,https://api.github.com/users/kozmic/repos,105,60,36,60,"{'Shell', 'HTML', 'Ruby', 'JavaScript', 'XSLT', 'Python', 'Go', 'Groovy', 'Java'}",Excellent
shingi,https://api.github.com/users/shingi,https://github.com/shingi,https://api.github.com/users/shingi/repos,11,1,0,1,"{'TypeScript', 'Shell', 'HTML', 'JavaScript', 'C', 'Swift', 'C#', 'PowerShell', 'Go', 'Java'}",Bad
stu,https://api.github.com/users/stu,https://github.com/stu,https://api.github.com/users/stu/repos,8,40,19,40,"{'Ruby', 'PHP', 'C', 'Assembly'}",Average
krschultz,https://api.github.com/users/krschultz,https://github.com/krschultz,https://api.github.com/users/krschultz/repos,184,4641,605,4641,"{'IDL', 'Java'}",Good
isaacfeliu,https://api.github.com/users/isaacfeliu,https://github.com/isaacfeliu,https://api.github.com/users/isaacfeliu/repos,13,31,10,31,{'Ruby'},Average
tapn2it,https://api.github.com/users/tapn2it,https://github.com/tapn2it,https://api.github.com/users/tapn2it/repos,21,13,4,13,"{'Ruby', 'JavaScript', 'Clojure', 'Python', 'CoffeeScript'}",Bad
joelw,https://api.github.com/users/joelw,https://github.com/joelw,https://api.github.com/users/joelw/repos,10,9,5,9,"{'TypeScript', 'Shell', 'Pascal', 'Dockerfile', 'Arduino', 'Ruby', 'JavaScript', 'Java', 'C', 'Python', 'PHP', 'HTML'}",Bad
mprobst,https://api.github.com/users/mprobst,https://github.com/mprobst,https://api.github.com/users/mprobst/repos,153,20,13,20,"{'TypeScript', 'HTML', 'Ruby', 'JavaScript', 'Python', 'C++', 'CoffeeScript', 'PHP', 'Go', 'Java'}",Bad
giallu,https://api.github.com/users/giallu,https://github.com/giallu,https://api.github.com/users/giallu/repos,55,18,9,18,"{'Shell', 'C', 'Python', 'PowerShell', 'C++', 'VimL', 'PHP'}",Bad
butzopower,https://api.github.com/users/butzopower,https://github.com/butzopower,https://api.github.com/users/butzopower/repos,47,14,5,14,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'C', 'CSS', 'Go', 'Java'}",Bad
eskim,https://api.github.com/users/eskim,https://github.com/eskim,https://api.github.com/users/eskim/repos,11,18,3,18,"{'GLSL', 'TypeScript', 'HTML', 'R', 'Ruby', 'Java', 'JavaScript', 'Python', 'CoffeeScript', 'Emacs Lisp'}",Bad
kennylovrin,https://api.github.com/users/kennylovrin,https://github.com/kennylovrin,https://api.github.com/users/kennylovrin/repos,9,2,1,2,"{'Ruby', 'C++', 'Swift'}",Bad
kaste,https://api.github.com/users/kaste,https://github.com/kaste,https://api.github.com/users/kaste/repos,29,39,3,39,"{'Python', 'TypeScript', 'HTML'}",Average
eddynaert,https://api.github.com/users/eddynaert,https://github.com/eddynaert,https://api.github.com/users/eddynaert/repos,7,0,0,0,set(),Bad
danieljames,https://api.github.com/users/danieljames,https://github.com/danieljames,https://api.github.com/users/danieljames/repos,19,1,7,1,"{'JavaScript', 'C', 'XSLT', 'Python', 'C++', 'PHP', 'HTML'}",Bad
xeon,https://api.github.com/users/xeon,https://github.com/xeon,https://api.github.com/users/xeon/repos,4,4,0,4,set(),Bad
cameronp,https://api.github.com/users/cameronp,https://github.com/cameronp,https://api.github.com/users/cameronp/repos,37,15,5,15,"{'Elixir', 'JavaScript', 'Erlang', 'Rust', 'Elm'}",Bad
dancyr,https://api.github.com/users/dancyr,https://github.com/dancyr,https://api.github.com/users/dancyr/repos,6,1,0,1,{'Ruby'},Bad
julien,https://api.github.com/users/julien,https://github.com/julien,https://api.github.com/users/julien/repos,88,25,6,25,"{'ActionScript', 'Dart', 'HTML', 'JavaScript', 'C', 'Python', 'SCSS', 'C++', 'Go', 'Java'}",Bad
pripple,https://api.github.com/users/pripple,https://github.com/pripple,https://api.github.com/users/pripple/repos,3,4,0,4,{'Ruby'},Bad
Jonesy,https://api.github.com/users/Jonesy,https://github.com/Jonesy,https://api.github.com/users/Jonesy/repos,40,54,5,54,"{'TypeScript', 'Zig', 'JavaScript', 'Lua', 'Nix', 'PHP', 'HTML'}",Average
zhubert,https://api.github.com/users/zhubert,https://github.com/zhubert,https://api.github.com/users/zhubert/repos,48,8,1,8,"{'Ruby', 'JavaScript', 'HTML'}",Bad
garrettdimon,https://api.github.com/users/garrettdimon,https://github.com/garrettdimon,https://api.github.com/users/garrettdimon/repos,113,67,2,67,"{'CSS', 'Ruby'}",Average
voidlock,https://api.github.com/users/voidlock,https://github.com/voidlock,https://api.github.com/users/voidlock/repos,41,20,7,20,"{'Shell', 'CoffeeScript', 'Ruby', 'JavaScript', 'Vim Script', 'VimL', 'Erlang', 'Go'}",Bad
mihar,https://api.github.com/users/mihar,https://github.com/mihar,https://api.github.com/users/mihar/repos,115,141,14,141,"{'Shell', 'Ruby', 'JavaScript', 'CoffeeScript', 'HTML'}",Average
jamnut,https://api.github.com/users/jamnut,https://github.com/jamnut,https://api.github.com/users/jamnut/repos,2,0,0,0,"{'Rust', 'C', 'HTML'}",Bad
eeejay,https://api.github.com/users/eeejay,https://github.com/eeejay,https://api.github.com/users/eeejay/repos,41,105,22,105,"{'OpenSCAD', 'Shell', 'TypeScript', 'HTML', 'JavaScript', 'C', 'Python', 'C#', 'C++', 'Kotlin', 'Rust', 'Java'}",Excellent
mudiarto,https://api.github.com/users/mudiarto,https://github.com/mudiarto,https://api.github.com/users/mudiarto/repos,37,31,10,31,"{'Ruby', 'JavaScript', 'Vim Script', 'Python', 'CSS', 'Jupyter Notebook', 'CoffeeScript', 'HTML'}",Average
levi,https://api.github.com/users/levi,https://github.com/levi,https://api.github.com/users/levi/repos,151,6,3,6,"{'TypeScript', 'Ruby', 'JavaScript', 'Swift', 'Objective-C', 'Python', 'Go', 'Emacs Lisp'}",Bad
jugend,https://api.github.com/users/jugend,https://github.com/jugend,https://api.github.com/users/jugend/repos,39,663,121,663,"{'Shell', 'Ruby', 'JavaScript', 'Swift', 'Vim Script', 'VimL', 'HTML'}",Excellent
stephankaag,https://api.github.com/users/stephankaag,https://github.com/stephankaag,https://api.github.com/users/stephankaag/repos,36,1,0,1,"{'TypeScript', 'Shell', 'Ruby', 'JavaScript', 'HTML'}",Bad
mkuhn,https://api.github.com/users/mkuhn,https://github.com/mkuhn,https://api.github.com/users/mkuhn/repos,23,90,14,90,"{'R', 'Python', 'C++', 'Haskell', 'Perl', 'HTML'}",Average
AJ,https://api.github.com/users/AJ,https://github.com/AJ,https://api.github.com/users/AJ/repos,13,2,0,2,"{'Shell', 'Python', 'CSS', 'PHP', 'Java'}",Bad
clavoie,https://api.github.com/users/clavoie,https://github.com/clavoie,https://api.github.com/users/clavoie/repos,8,47,6,47,"{'JavaScript', 'Clojure', 'CSS', 'C#', 'Go'}",Average
xdite,https://api.github.com/users/xdite,https://github.com/xdite,https://api.github.com/users/xdite/repos,2608,633,278,633,"{'Ruby', 'JavaScript', 'HTML', 'Makefile'}",Excellent
Kikimora,https://api.github.com/users/Kikimora,https://github.com/Kikimora,https://api.github.com/users/Kikimora/repos,3,6,1,6,"{'Shell', 'Ruby', 'JavaScript', 'C', 'CSS', 'C++', 'Emacs Lisp'}",Bad
pkondzior,https://api.github.com/users/pkondzior,https://github.com/pkondzior,https://api.github.com/users/pkondzior/repos,32,16,0,16,"{'Ruby', 'JavaScript', 'C', 'VimL', 'Rust'}",Bad
motemen,https://api.github.com/users/motemen,https://github.com/motemen,https://api.github.com/users/motemen/repos,713,133,13,133,"{'ActionScript', 'TypeScript', 'Shell', 'HTML', 'Ruby', 'JavaScript', 'C', 'Scala', 'VimL', 'Go', 'Kotlin', 'Alloy', 'Perl', 'Java'}",Average
joshuashen,https://api.github.com/users/joshuashen,https://github.com/joshuashen,https://api.github.com/users/joshuashen/repos,13,20,2,20,"{'Shell', 'R', 'Ruby', 'JavaScript', 'C', 'Matlab', 'Objective-C', 'Python', 'CSS', 'C++', 'PHP', 'Groovy', 'HTML'}",Bad
hyle,https://api.github.com/users/hyle,https://github.com/hyle,https://api.github.com/users/hyle/repos,5,0,0,0,{'JavaScript'},Bad
flavioruiz,https://api.github.com/users/flavioruiz,https://github.com/flavioruiz,https://api.github.com/users/flavioruiz/repos,8,20,0,20,"{'Shell', 'Ruby', 'JavaScript', 'Objective-C', 'Python', 'CSS', 'Java'}",Bad
downtowncartel,https://api.github.com/users/downtowncartel,https://github.com/downtowncartel,https://api.github.com/users/downtowncartel/repos,7,7,1,7,{'Ruby'},Bad
kejadlen,https://api.github.com/users/kejadlen,https://github.com/kejadlen,https://api.github.com/users/kejadlen/repos,40,333,41,333,"{'HCL', 'TypeScript', 'Shell', 'Ruby', 'Swift', 'TeX', 'Rust'}",Excellent
ascarter,https://api.github.com/users/ascarter,https://github.com/ascarter,https://api.github.com/users/ascarter/repos,94,91,13,91,"{'Shell', 'Ruby', 'CSS', 'Python', 'C++', 'CoffeeScript', 'Go'}",Average
ahamx,https://api.github.com/users/ahamx,https://github.com/ahamx,https://api.github.com/users/ahamx/repos,11,2,0,2,set(),Bad
pdcawley,https://api.github.com/users/pdcawley,https://github.com/pdcawley,https://api.github.com/users/pdcawley/repos,93,184,4,184,"{'Ruby', 'JavaScript', 'Lua', 'C++', 'PLpgSQL', 'Go', 'Perl', 'Emacs Lisp'}",Average
michaeljones,https://api.github.com/users/michaeljones,https://github.com/michaeljones,https://api.github.com/users/michaeljones/repos,152,44,9,44,"{'Elixir', 'JavaScript', 'Python', 'C++', 'Rust', 'Elm', 'Tcl'}",Average
johnm,https://api.github.com/users/johnm,https://github.com/johnm,https://api.github.com/users/johnm/repos,35,7,6,7,"{'JavaScript', 'C', 'Clojure', 'C++', 'Rust', 'Java'}",Bad
pedrofrv,https://api.github.com/users/pedrofrv,https://github.com/pedrofrv,https://api.github.com/users/pedrofrv/repos,3,1,0,1,"{'C', 'Java'}",Bad
binarypie,https://api.github.com/users/binarypie,https://github.com/binarypie,https://api.github.com/users/binarypie/repos,28,51,40,51,"{'Shell', 'TypeScript', 'JavaScript', 'Vim script', 'Objective-C', 'CSS', 'Lua', 'Python', 'VimL', 'Go'}",Excellent
astine,https://api.github.com/users/astine,https://github.com/astine,https://api.github.com/users/astine/repos,24,22,1,22,"{'Shell', 'Ruby', 'Emacs Lisp', 'JavaScript', 'C', 'Clojure', 'Python', 'Common Lisp', 'Java'}",Bad
epdp,https://api.github.com/users/epdp,https://github.com/epdp,https://api.github.com/users/epdp/repos,8,4,4,4,"{'Ruby', 'JavaScript'}",Bad
przeor,https://api.github.com/users/przeor,https://github.com/przeor,https://api.github.com/users/przeor/repos,652,106,30,106,"{'TypeScript', 'JavaScript', 'Python', 'CSS', 'C++', 'HTML'}",Excellent
awwaiid,https://api.github.com/users/awwaiid,https://github.com/awwaiid,https://api.github.com/users/awwaiid/repos,78,33,11,33,"{'TypeScript', 'Shell', 'Ruby', 'Perl6', 'JavaScript', 'Python', 'CSS', 'VimL', 'Perl', 'HTML'}",Average
pharaohsd,https://api.github.com/users/pharaohsd,https://github.com/pharaohsd,https://api.github.com/users/pharaohsd/repos,3,2,0,2,{'VimL'},Bad
Jasonbit,https://api.github.com/users/Jasonbit,https://github.com/Jasonbit,https://api.github.com/users/Jasonbit/repos,14,13,1,13,"{'Shell', 'Ruby', 'JavaScript', 'Swift', 'Objective-C', 'Python', 'CSS'}",Bad
typesend,https://api.github.com/users/typesend,https://github.com/typesend,https://api.github.com/users/typesend/repos,47,10,3,10,"{'Shell', 'Elixir', 'Ruby', 'JavaScript', 'CSS', 'Python', 'Erlang', 'Go', 'HTML'}",Bad
maxim,https://api.github.com/users/maxim,https://github.com/maxim,https://api.github.com/users/maxim/repos,188,711,113,711,"{'Elixir', 'Shell', 'Ruby', 'Python', 'HTML'}",Excellent
jui,https://api.github.com/users/jui,https://github.com/jui,https://api.github.com/users/jui/repos,5,25,6,25,"{'Elixir', 'Ruby', 'JavaScript', 'Swift', 'Erlang', 'Java'}",Bad
naokits,https://api.github.com/users/naokits,https://github.com/naokits,https://api.github.com/users/naokits/repos,62,56,5,56,"{'Python', 'Swift', 'Objective-C'}",Average
Rydgel,https://api.github.com/users/Rydgel,https://github.com/Rydgel,https://api.github.com/users/Rydgel/repos,164,955,93,955,"{'PHP', 'Elixir', 'Shell', 'TypeScript', 'JavaScript', 'C', 'Scala', 'Clojure', 'Python', 'Haskell', 'C++', 'VimL', 'Kotlin', 'Rust'}",Excellent
derekjw,https://api.github.com/users/derekjw,https://github.com/derekjw,https://api.github.com/users/derekjw/repos,44,121,23,121,"{'Shell', 'C', 'Scala', 'Haskell', 'Rust', 'Emacs Lisp'}",Excellent
felipemms,https://api.github.com/users/felipemms,https://github.com/felipemms,https://api.github.com/users/felipemms/repos,5,0,0,0,set(),Bad
nathanclark,https://api.github.com/users/nathanclark,https://github.com/nathanclark,https://api.github.com/users/nathanclark/repos,13,11,1,11,"{'ActionScript', 'Ruby', 'JavaScript', 'Objective-C', 'Python', 'Perl', 'HTML'}",Bad
callagga,https://api.github.com/users/callagga,https://github.com/callagga,https://api.github.com/users/callagga/repos,3,0,0,0,{'Lua'},Bad
jsuchy,https://api.github.com/users/jsuchy,https://github.com/jsuchy,https://api.github.com/users/jsuchy/repos,0,30,11,30,"{'Elixir', 'Shell', 'Ruby', 'Java', 'JavaScript', 'C', 'Objective-C', 'Vim Script', 'Clojure', 'C#', 'HTML'}",Average
bd808,https://api.github.com/users/bd808,https://github.com/bd808,https://api.github.com/users/bd808/repos,102,13,6,13,"{'Shell', 'JavaScript', 'Vim script', 'Objective-C', 'Python', 'C++', 'Makefile', 'PHP', 'Perl', 'HTML'}",Bad
houzongming,https://api.github.com/users/houzongming,https://github.com/houzongming,https://api.github.com/users/houzongming/repos,5,2,0,2,set(),Bad
chase,https://api.github.com/users/chase,https://github.com/chase,https://api.github.com/users/chase/repos,86,469,21,469,"{'TypeScript', 'Ruby', 'JavaScript', 'Vim Script', 'Python', 'MoonScript', 'Lua', 'C++', 'VimL', 'CoffeeScript', 'Perl'}",Excellent
elasticdarwin,https://api.github.com/users/elasticdarwin,https://github.com/elasticdarwin,https://api.github.com/users/elasticdarwin/repos,7,7,2,7,"{'JavaScript', 'C++', 'Java'}",Bad
danbt79,https://api.github.com/users/danbt79,https://github.com/danbt79,https://api.github.com/users/danbt79/repos,8,0,0,0,"{'Ruby', 'CSS', 'PHP', 'JavaScript'}",Bad
howiworkdaily,https://api.github.com/users/howiworkdaily,https://github.com/howiworkdaily,https://api.github.com/users/howiworkdaily/repos,182,471,199,471,"{'Python', 'JavaScript'}",Excellent
smmckay,https://api.github.com/users/smmckay,https://github.com/smmckay,https://api.github.com/users/smmckay/repos,3,7,3,7,"{'Dockerfile', 'JavaScript', 'Python', 'CSS', 'Rust', 'Java'}",Bad
sleepygiant,https://api.github.com/users/sleepygiant,https://github.com/sleepygiant,https://api.github.com/users/sleepygiant/repos,6,5,0,5,{'Ruby'},Bad
robwilkerson,https://api.github.com/users/robwilkerson,https://github.com/robwilkerson,https://api.github.com/users/robwilkerson/repos,22,149,96,149,"{'Elixir', 'Ruby', 'JavaScript', 'Swift', 'Python', 'Astro', 'CoffeeScript', 'PHP', 'Go'}",Excellent
notonthehighstreet,https://api.github.com/users/notonthehighstreet,https://github.com/notonthehighstreet,https://api.github.com/users/notonthehighstreet/repos,11,60,8,60,"{'Shell', 'Ruby', 'JavaScript', 'Python', 'Go', 'Java'}",Average
poteri,https://api.github.com/users/poteri,https://github.com/poteri,https://api.github.com/users/poteri/repos,3,0,0,0,"{'Python', 'JavaScript'}",Bad
siannopollo,https://api.github.com/users/siannopollo,https://github.com/siannopollo,https://api.github.com/users/siannopollo/repos,13,149,37,149,"{'Ruby', 'JavaScript', 'C', 'Objective-C', 'CSS', 'CoffeeScript'}",Average
dbora,https://api.github.com/users/dbora,https://github.com/dbora,https://api.github.com/users/dbora/repos,20,3,0,3,"{'Ruby', 'HTML', 'Objective-C'}",Bad
u10int,https://api.github.com/users/u10int,https://github.com/u10int,https://api.github.com/users/u10int/repos,73,84,11,84,"{'Shell', 'Dockerfile', 'Ruby', 'JavaScript', 'Swift', 'Objective-C', 'VimL'}",Average
victorz,https://api.github.com/users/victorz,https://github.com/victorz,https://api.github.com/users/victorz/repos,19,6,0,6,"{'TypeScript', 'Shell', 'JavaScript', 'C', 'C++', 'Vue', 'Go', 'Java'}",Bad
brycethornton,https://api.github.com/users/brycethornton,https://github.com/brycethornton,https://api.github.com/users/brycethornton/repos,54,13,1,13,"{'Ruby', 'Python', 'VimL', 'PHP', 'Crystal', 'HTML'}",Bad
alebedev,https://api.github.com/users/alebedev,https://github.com/alebedev,https://api.github.com/users/alebedev/repos,10,349,90,349,"{'TypeScript', 'Ruby', 'JavaScript', 'Kotlin', 'Java'}",Average
mjturner,https://api.github.com/users/mjturner,https://github.com/mjturner,https://api.github.com/users/mjturner/repos,12,2,0,2,"{'Shell', 'JavaScript', 'C', 'Python', 'CSS', 'Makefile', 'Rust', 'Perl'}",Bad
eden,https://api.github.com/users/eden,https://github.com/eden,https://api.github.com/users/eden/repos,32,21,3,21,"{'ActionScript', 'Ruby', 'JavaScript', 'C', 'Swift', 'C++', 'Go', 'HTML'}",Bad
BrianAker,https://api.github.com/users/BrianAker,https://github.com/BrianAker,https://api.github.com/users/BrianAker/repos,44,9,3,9,"{'Slash', 'Shell', 'JavaScript', 'Vim script', 'Objective-C', 'VimL', 'Python', 'Makefile', 'Go', 'Groovy'}",Bad
letterj,https://api.github.com/users/letterj,https://github.com/letterj,https://api.github.com/users/letterj/repos,22,4,1,4,"{'TypeScript', 'Shell', 'Dockerfile', 'Arduino', 'JavaScript', 'Vim script', 'Python', 'Haskell', 'Jupyter Notebook', 'Makefile', 'Go'}",Bad
r7000,https://api.github.com/users/r7000,https://github.com/r7000,https://api.github.com/users/r7000/repos,4,2,0,2,{'Ruby'},Bad
tomasotosolini,https://api.github.com/users/tomasotosolini,https://github.com/tomasotosolini,https://api.github.com/users/tomasotosolini/repos,2,7,0,7,"{'Ruby', 'Java'}",Bad
slusnys,https://api.github.com/users/slusnys,https://github.com/slusnys,https://api.github.com/users/slusnys/repos,4,0,0,0,"{'C++', 'Emacs Lisp'}",Bad
msmith,https://api.github.com/users/msmith,https://github.com/msmith,https://api.github.com/users/msmith/repos,17,16,1,16,"{'Ruby', 'JavaScript', 'Scala', 'Haskell', 'Go', 'HTML'}",Bad
banbh,https://api.github.com/users/banbh,https://github.com/banbh,https://api.github.com/users/banbh/repos,6,0,0,0,"{'C#', 'JavaScript', 'Jupyter Notebook', 'HTML'}",Bad
giom,https://api.github.com/users/giom,https://github.com/giom,https://api.github.com/users/giom/repos,14,117,40,117,"{'Ruby', 'JavaScript', 'C', 'C++', 'Java'}",Average
easco,https://api.github.com/users/easco,https://github.com/easco,https://api.github.com/users/easco/repos,8,46,14,46,"{'Clojure', 'JavaScript', 'Elm', 'Elixir'}",Average
justingrammens,https://api.github.com/users/justingrammens,https://github.com/justingrammens,https://api.github.com/users/justingrammens/repos,42,28,13,28,"{'HTML', 'Arduino', 'JavaScript', 'C', 'Python', 'CSS', 'C++', 'Jupyter Notebook', 'Go', 'Groovy', 'Java'}",Bad
duncanmak,https://api.github.com/users/duncanmak,https://github.com/duncanmak,https://api.github.com/users/duncanmak/repos,40,10,0,10,"{'F#', 'TypeScript', 'Ruby', 'Java', 'Emacs Lisp', 'JavaScript', 'Clojure', 'Python', 'C#', 'CSS', 'Scheme', 'HTML'}",Bad
ctshh,https://api.github.com/users/ctshh,https://github.com/ctshh,https://api.github.com/users/ctshh/repos,4,2,0,2,set(),Bad
jdimauro,https://api.github.com/users/jdimauro,https://github.com/jdimauro,https://api.github.com/users/jdimauro/repos,20,34,1,34,"{'Shell', 'Arduino', 'Ruby', 'C++', 'Java'}",Average
nopcoder,https://api.github.com/users/nopcoder,https://github.com/nopcoder,https://api.github.com/users/nopcoder/repos,31,2,0,2,"{'JavaScript', 'C', 'C++', 'CoffeeScript', 'Go', 'Java'}",Bad
peterb,https://api.github.com/users/peterb,https://github.com/peterb,https://api.github.com/users/peterb/repos,17,1,0,1,"{'Ruby', 'Shell'}",Bad
layton,https://api.github.com/users/layton,https://github.com/layton,https://api.github.com/users/layton/repos,18,8,3,8,"{'Python', 'Ruby'}",Bad
dalen,https://api.github.com/users/dalen,https://github.com/dalen,https://api.github.com/users/dalen/repos,118,35,12,35,"{'TypeScript', 'Puppet', 'Ruby', 'JavaScript', 'Python', 'Rust', 'Elm', 'Go', 'Java'}",Average
tzuryby,https://api.github.com/users/tzuryby,https://github.com/tzuryby,https://api.github.com/users/tzuryby/repos,92,19,7,19,"{'Ruby', 'Java', 'JavaScript', 'Objective-C', 'Python', 'C++', 'Go', 'HTML'}",Bad
tlovett,https://api.github.com/users/tlovett,https://github.com/tlovett,https://api.github.com/users/tlovett/repos,3,0,0,0,"{'Python', 'JavaScript'}",Bad
elskwid,https://api.github.com/users/elskwid,https://github.com/elskwid,https://api.github.com/users/elskwid/repos,105,8,0,8,"{'Ruby', 'JavaScript', 'Emacs Lisp'}",Bad
nikonoid,https://api.github.com/users/nikonoid,https://github.com/nikonoid,https://api.github.com/users/nikonoid/repos,4,0,0,0,{'Ruby'},Bad
