login,user_url,html_url,repos_url,followers,total_stars,total_forks,total_watchers,languages,repo_count,label
jbcrail,https://api.github.com/users/jbcrail,https://github.com/jbcrail,https://api.github.com/users/jbcrail/repos,79,7,3,7,"{'C', 'Python', 'Makefile', 'Ragel in Ruby Host', 'PHP', 'Ruby', 'Shell', 'JavaScript', 'Rust', 'Go'}",30,0
cornexo,https://api.github.com/users/cornexo,https://github.com/cornexo,https://api.github.com/users/cornexo/repos,19,5,0,5,"{'HTML', 'C', 'Python', 'Groovy', 'TypeScript', 'Objective-C', 'Ruby', 'JavaScript', 'Go'}",28,1
abarrow,https://api.github.com/users/abarrow,https://github.com/abarrow,https://api.github.com/users/abarrow/repos,5,0,0,0,"{'Swift', 'Apex', 'JavaScript', 'Python'}",19,1
austin,https://api.github.com/users/austin,https://github.com/austin,https://api.github.com/users/austin/repos,11,2,0,2,"{'Python', 'Ruby', 'JavaScript'}",3,1
antenore,https://api.github.com/users/antenore,https://github.com/antenore,https://api.github.com/users/antenore/repos,148,13,7,13,"{'C', 'CSS', 'Lua', 'Vim script', 'Ruby', 'TeX', 'Shell', 'Python'}",30,0
LimeHat,https://api.github.com/users/LimeHat,https://github.com/LimeHat,https://api.github.com/users/LimeHat/repos,20,0,0,0,"{'Makefile', 'Go'}",11,1
cementhorses,https://api.github.com/users/cementhorses,https://github.com/cementhorses,https://api.github.com/users/cementhorses/repos,8,33,9,33,"{'Ruby', 'JavaScript'}",6,1
tolnem,https://api.github.com/users/tolnem,https://github.com/tolnem,https://api.github.com/users/tolnem/repos,10,9,1,9,"{'Python', 'PHP', 'JavaScript'}",14,1
danielegozzi,https://api.github.com/users/danielegozzi,https://github.com/danielegozzi,https://api.github.com/users/danielegozzi/repos,5,21,4,21,"{'Python', 'Ruby', 'Shell', 'JavaScript', 'Go'}",14,1
pjo,https://api.github.com/users/pjo,https://github.com/pjo,https://api.github.com/users/pjo/repos,8,0,0,0,{'Ruby'},1,1
jinzhu,https://api.github.com/users/jinzhu,https://github.com/jinzhu,https://api.github.com/users/jinzhu/repos,5342,7339,724,7339,"{'C', 'Emacs Lisp', 'Ruby', 'Go', 'JavaScript'}",30,0
sentientmonkey,https://api.github.com/users/sentientmonkey,https://github.com/sentientmonkey,https://api.github.com/users/sentientmonkey/repos,53,30,5,30,"{'C', 'Emacs Lisp', 'TypeScript', 'Haskell', 'HaXe', 'Ruby', 'JavaScript', 'Racket', 'Go'}",30,0
Soulsbane,https://api.github.com/users/Soulsbane,https://github.com/Soulsbane,https://api.github.com/users/Soulsbane/repos,23,0,1,0,"{'Rust', 'JavaScript', 'D', 'Go'}",30,1
kozmic,https://api.github.com/users/kozmic,https://github.com/kozmic,https://api.github.com/users/kozmic/repos,105,60,36,60,"{'Java', 'XSLT', 'HTML', 'Python', 'Groovy', 'Ruby', 'Shell', 'JavaScript', 'Go'}",30,0
shingi,https://api.github.com/users/shingi,https://github.com/shingi,https://api.github.com/users/shingi/repos,11,1,0,1,"{'Java', 'Swift', 'C#', 'HTML', 'PowerShell', 'C', 'TypeScript', 'Shell', 'JavaScript', 'Go'}",30,1
stu,https://api.github.com/users/stu,https://github.com/stu,https://api.github.com/users/stu/repos,8,40,19,40,"{'Assembly', 'PHP', 'Ruby', 'C'}",16,0
krschultz,https://api.github.com/users/krschultz,https://github.com/krschultz,https://api.github.com/users/krschultz/repos,184,4641,605,4641,"{'IDL', 'Java'}",2,0
isaacfeliu,https://api.github.com/users/isaacfeliu,https://github.com/isaacfeliu,https://api.github.com/users/isaacfeliu/repos,13,31,10,31,{'Ruby'},13,1
tapn2it,https://api.github.com/users/tapn2it,https://github.com/tapn2it,https://api.github.com/users/tapn2it/repos,21,13,4,13,"{'Ruby', 'Clojure', 'JavaScript', 'CoffeeScript', 'Python'}",28,1
joelw,https://api.github.com/users/joelw,https://github.com/joelw,https://api.github.com/users/joelw/repos,10,9,5,9,"{'Java', 'HTML', 'C', 'Pascal', 'TypeScript', 'PHP', 'Ruby', 'Shell', 'JavaScript', 'Arduino', 'Dockerfile', 'Python'}",28,1
mprobst,https://api.github.com/users/mprobst,https://github.com/mprobst,https://api.github.com/users/mprobst/repos,153,20,13,20,"{'Java', 'HTML', 'TypeScript', 'C++', 'Ruby', 'PHP', 'JavaScript', 'Go', 'CoffeeScript', 'Python'}",30,0
giallu,https://api.github.com/users/giallu,https://github.com/giallu,https://api.github.com/users/giallu/repos,55,18,9,18,"{'PowerShell', 'C', 'VimL', 'C++', 'PHP', 'Shell', 'Python'}",28,0
butzopower,https://api.github.com/users/butzopower,https://github.com/butzopower,https://api.github.com/users/butzopower/repos,47,14,5,14,"{'Java', 'C', 'CSS', 'TypeScript', 'Ruby', 'Shell', 'Go', 'JavaScript'}",30,0
eskim,https://api.github.com/users/eskim,https://github.com/eskim,https://api.github.com/users/eskim/repos,11,18,3,18,"{'Java', 'HTML', 'Python', 'Emacs Lisp', 'TypeScript', 'Ruby', 'CoffeeScript', 'GLSL', 'R', 'JavaScript'}",30,1
kennylovrin,https://api.github.com/users/kennylovrin,https://github.com/kennylovrin,https://api.github.com/users/kennylovrin/repos,9,2,1,2,"{'Swift', 'C++', 'Ruby'}",6,1
kaste,https://api.github.com/users/kaste,https://github.com/kaste,https://api.github.com/users/kaste/repos,29,39,3,39,"{'TypeScript', 'HTML', 'Python'}",30,1
eddynaert,https://api.github.com/users/eddynaert,https://github.com/eddynaert,https://api.github.com/users/eddynaert/repos,7,0,0,0,set(),1,1
danieljames,https://api.github.com/users/danieljames,https://github.com/danieljames,https://api.github.com/users/danieljames/repos,19,1,7,1,"{'XSLT', 'HTML', 'C', 'Python', 'PHP', 'C++', 'JavaScript'}",30,1
xeon,https://api.github.com/users/xeon,https://github.com/xeon,https://api.github.com/users/xeon/repos,4,4,0,4,set(),1,1
cameronp,https://api.github.com/users/cameronp,https://github.com/cameronp,https://api.github.com/users/cameronp/repos,37,15,5,15,"{'Elixir', 'Erlang', 'Elm', 'Rust', 'JavaScript'}",25,1
dancyr,https://api.github.com/users/dancyr,https://github.com/dancyr,https://api.github.com/users/dancyr/repos,6,1,0,1,{'Ruby'},5,1
julien,https://api.github.com/users/julien,https://github.com/julien,https://api.github.com/users/julien/repos,88,25,6,25,"{'Java', 'SCSS', 'HTML', 'C', 'ActionScript', 'Python', 'C++', 'Dart', 'Go', 'JavaScript'}",30,0
pripple,https://api.github.com/users/pripple,https://github.com/pripple,https://api.github.com/users/pripple/repos,3,4,0,4,{'Ruby'},3,1
Jonesy,https://api.github.com/users/Jonesy,https://github.com/Jonesy,https://api.github.com/users/Jonesy/repos,40,54,5,54,"{'HTML', 'TypeScript', 'Lua', 'PHP', 'Zig', 'Nix', 'JavaScript'}",29,0
zhubert,https://api.github.com/users/zhubert,https://github.com/zhubert,https://api.github.com/users/zhubert/repos,48,8,1,8,"{'Ruby', 'HTML', 'JavaScript'}",3,0
garrettdimon,https://api.github.com/users/garrettdimon,https://github.com/garrettdimon,https://api.github.com/users/garrettdimon/repos,113,67,2,67,"{'Ruby', 'CSS'}",8,0
voidlock,https://api.github.com/users/voidlock,https://github.com/voidlock,https://api.github.com/users/voidlock/repos,41,20,7,20,"{'VimL', 'Ruby', 'Shell', 'Erlang', 'Go', 'CoffeeScript', 'Vim Script', 'JavaScript'}",30,0
mihar,https://api.github.com/users/mihar,https://github.com/mihar,https://api.github.com/users/mihar/repos,115,141,14,141,"{'HTML', 'Ruby', 'Shell', 'CoffeeScript', 'JavaScript'}",30,0
jamnut,https://api.github.com/users/jamnut,https://github.com/jamnut,https://api.github.com/users/jamnut/repos,2,0,0,0,"{'Rust', 'HTML', 'C'}",4,1
eeejay,https://api.github.com/users/eeejay,https://github.com/eeejay,https://api.github.com/users/eeejay/repos,41,105,22,105,"{'Java', 'C#', 'HTML', 'C', 'TypeScript', 'C++', 'Shell', 'Kotlin', 'JavaScript', 'OpenSCAD', 'Rust', 'Python'}",30,0
mudiarto,https://api.github.com/users/mudiarto,https://github.com/mudiarto,https://api.github.com/users/mudiarto/repos,37,31,10,31,"{'HTML', 'Jupyter Notebook', 'CSS', 'Python', 'Ruby', 'CoffeeScript', 'Vim Script', 'JavaScript'}",30,1
levi,https://api.github.com/users/levi,https://github.com/levi,https://api.github.com/users/levi/repos,151,6,3,6,"{'Swift', 'Python', 'Emacs Lisp', 'TypeScript', 'Objective-C', 'Ruby', 'JavaScript', 'Go'}",30,0
jugend,https://api.github.com/users/jugend,https://github.com/jugend,https://api.github.com/users/jugend/repos,39,663,121,663,"{'Swift', 'HTML', 'VimL', 'Ruby', 'Shell', 'Vim Script', 'JavaScript'}",30,0
stephankaag,https://api.github.com/users/stephankaag,https://github.com/stephankaag,https://api.github.com/users/stephankaag/repos,36,1,0,1,"{'HTML', 'TypeScript', 'Ruby', 'Shell', 'JavaScript'}",30,1
mkuhn,https://api.github.com/users/mkuhn,https://github.com/mkuhn,https://api.github.com/users/mkuhn/repos,23,90,14,90,"{'HTML', 'Haskell', 'C++', 'Perl', 'R', 'Python'}",30,0
AJ,https://api.github.com/users/AJ,https://github.com/AJ,https://api.github.com/users/AJ/repos,13,2,0,2,"{'Java', 'CSS', 'PHP', 'Shell', 'Python'}",16,1
clavoie,https://api.github.com/users/clavoie,https://github.com/clavoie,https://api.github.com/users/clavoie/repos,8,47,6,47,"{'C#', 'CSS', 'Clojure', 'Go', 'JavaScript'}",27,0
xdite,https://api.github.com/users/xdite,https://github.com/xdite,https://api.github.com/users/xdite/repos,2608,633,278,633,"{'Makefile', 'Ruby', 'HTML', 'JavaScript'}",30,0
Kikimora,https://api.github.com/users/Kikimora,https://github.com/Kikimora,https://api.github.com/users/Kikimora/repos,3,6,1,6,"{'CSS', 'C', 'Emacs Lisp', 'C++', 'Ruby', 'Shell', 'JavaScript'}",14,1
pkondzior,https://api.github.com/users/pkondzior,https://github.com/pkondzior,https://api.github.com/users/pkondzior/repos,32,16,0,16,"{'C', 'VimL', 'Ruby', 'Rust', 'JavaScript'}",30,1
motemen,https://api.github.com/users/motemen,https://github.com/motemen,https://api.github.com/users/motemen/repos,713,133,13,133,"{'Java', 'HTML', 'C', 'ActionScript', 'TypeScript', 'Alloy', 'VimL', 'Scala', 'Ruby', 'Shell', 'Kotlin', 'JavaScript', 'Perl', 'Go'}",30,0
joshuashen,https://api.github.com/users/joshuashen,https://github.com/joshuashen,https://api.github.com/users/joshuashen/repos,13,20,2,20,"{'HTML', 'C', 'CSS', 'Groovy', 'Matlab', 'Objective-C', 'C++', 'Ruby', 'PHP', 'Shell', 'JavaScript', 'R', 'Python'}",30,1
hyle,https://api.github.com/users/hyle,https://github.com/hyle,https://api.github.com/users/hyle/repos,5,0,0,0,{'JavaScript'},2,1
flavioruiz,https://api.github.com/users/flavioruiz,https://github.com/flavioruiz,https://api.github.com/users/flavioruiz/repos,8,20,0,20,"{'Java', 'CSS', 'Python', 'Objective-C', 'Ruby', 'Shell', 'JavaScript'}",30,1
downtowncartel,https://api.github.com/users/downtowncartel,https://github.com/downtowncartel,https://api.github.com/users/downtowncartel/repos,7,7,1,7,{'Ruby'},2,1
kejadlen,https://api.github.com/users/kejadlen,https://github.com/kejadlen,https://api.github.com/users/kejadlen/repos,40,333,41,333,"{'Swift', 'TypeScript', 'Ruby', 'TeX', 'Shell', 'HCL', 'Rust'}",30,0
ascarter,https://api.github.com/users/ascarter,https://github.com/ascarter,https://api.github.com/users/ascarter/repos,94,91,13,91,"{'CSS', 'C++', 'Ruby', 'Shell', 'Go', 'CoffeeScript', 'Python'}",30,0
ahamx,https://api.github.com/users/ahamx,https://github.com/ahamx,https://api.github.com/users/ahamx/repos,11,2,0,2,set(),1,1
pdcawley,https://api.github.com/users/pdcawley,https://github.com/pdcawley,https://api.github.com/users/pdcawley/repos,93,184,4,184,"{'Emacs Lisp', 'Lua', 'C++', 'Ruby', 'Go', 'PLpgSQL', 'Perl', 'JavaScript'}",30,0
michaeljones,https://api.github.com/users/michaeljones,https://github.com/michaeljones,https://api.github.com/users/michaeljones/repos,152,44,9,44,"{'Tcl', 'Python', 'Elixir', 'C++', 'Elm', 'Rust', 'JavaScript'}",30,0
johnm,https://api.github.com/users/johnm,https://github.com/johnm,https://api.github.com/users/johnm/repos,35,7,6,7,"{'Java', 'C', 'C++', 'Clojure', 'Rust', 'JavaScript'}",17,1
pedrofrv,https://api.github.com/users/pedrofrv,https://github.com/pedrofrv,https://api.github.com/users/pedrofrv/repos,3,1,0,1,"{'Java', 'C'}",2,1
binarypie,https://api.github.com/users/binarypie,https://github.com/binarypie,https://api.github.com/users/binarypie/repos,28,51,40,51,"{'CSS', 'Python', 'TypeScript', 'Lua', 'Objective-C', 'Vim script', 'VimL', 'Shell', 'JavaScript', 'Go'}",26,0
astine,https://api.github.com/users/astine,https://github.com/astine,https://api.github.com/users/astine/repos,24,22,1,22,"{'Java', 'C', 'Common Lisp', 'Python', 'Emacs Lisp', 'Ruby', 'Shell', 'Clojure', 'JavaScript'}",30,1
epdp,https://api.github.com/users/epdp,https://github.com/epdp,https://api.github.com/users/epdp/repos,8,4,4,4,"{'Ruby', 'JavaScript'}",6,1
przeor,https://api.github.com/users/przeor,https://github.com/przeor,https://api.github.com/users/przeor/repos,652,106,30,106,"{'HTML', 'CSS', 'Python', 'TypeScript', 'C++', 'JavaScript'}",30,0
awwaiid,https://api.github.com/users/awwaiid,https://github.com/awwaiid,https://api.github.com/users/awwaiid/repos,78,33,11,33,"{'Perl6', 'HTML', 'CSS', 'Python', 'TypeScript', 'VimL', 'Ruby', 'Shell', 'Perl', 'JavaScript'}",30,0
pharaohsd,https://api.github.com/users/pharaohsd,https://github.com/pharaohsd,https://api.github.com/users/pharaohsd/repos,3,2,0,2,{'VimL'},1,1
Jasonbit,https://api.github.com/users/Jasonbit,https://github.com/Jasonbit,https://api.github.com/users/Jasonbit/repos,14,13,1,13,"{'Swift', 'CSS', 'Python', 'Ruby', 'Shell', 'JavaScript', 'Objective-C'}",30,1
typesend,https://api.github.com/users/typesend,https://github.com/typesend,https://api.github.com/users/typesend/repos,47,10,3,10,"{'HTML', 'CSS', 'Python', 'Elixir', 'Ruby', 'Shell', 'Erlang', 'Go', 'JavaScript'}",30,0
maxim,https://api.github.com/users/maxim,https://github.com/maxim,https://api.github.com/users/maxim/repos,188,711,113,711,"{'HTML', 'Elixir', 'Ruby', 'Shell', 'Python'}",30,0
jui,https://api.github.com/users/jui,https://github.com/jui,https://api.github.com/users/jui/repos,5,25,6,25,"{'Java', 'Swift', 'Elixir', 'Ruby', 'Erlang', 'JavaScript'}",14,1
naokits,https://api.github.com/users/naokits,https://github.com/naokits,https://api.github.com/users/naokits/repos,62,56,5,56,"{'Swift', 'Objective-C', 'Python'}",11,0
Rydgel,https://api.github.com/users/Rydgel,https://github.com/Rydgel,https://api.github.com/users/Rydgel/repos,164,955,93,955,"{'C', 'Python', 'Haskell', 'Elixir', 'TypeScript', 'VimL', 'Scala', 'C++', 'PHP', 'Shell', 'Kotlin', 'Clojure', 'Rust', 'JavaScript'}",30,0
derekjw,https://api.github.com/users/derekjw,https://github.com/derekjw,https://api.github.com/users/derekjw/repos,44,121,23,121,"{'C', 'Emacs Lisp', 'Haskell', 'Scala', 'Shell', 'Rust'}",30,0
felipemms,https://api.github.com/users/felipemms,https://github.com/felipemms,https://api.github.com/users/felipemms/repos,5,0,0,0,set(),1,1
nathanclark,https://api.github.com/users/nathanclark,https://github.com/nathanclark,https://api.github.com/users/nathanclark/repos,13,11,1,11,"{'HTML', 'ActionScript', 'Python', 'Ruby', 'JavaScript', 'Perl', 'Objective-C'}",30,1
callagga,https://api.github.com/users/callagga,https://github.com/callagga,https://api.github.com/users/callagga/repos,3,0,0,0,{'Lua'},2,1
jsuchy,https://api.github.com/users/jsuchy,https://github.com/jsuchy,https://api.github.com/users/jsuchy/repos,0,30,11,30,"{'Java', 'C#', 'HTML', 'C', 'Elixir', 'Ruby', 'Shell', 'JavaScript', 'Clojure', 'Vim Script', 'Objective-C'}",30,1
bd808,https://api.github.com/users/bd808,https://github.com/bd808,https://api.github.com/users/bd808/repos,102,13,6,13,"{'HTML', 'Makefile', 'Objective-C', 'Vim script', 'PHP', 'C++', 'Shell', 'JavaScript', 'Perl', 'Python'}",30,0
houzongming,https://api.github.com/users/houzongming,https://github.com/houzongming,https://api.github.com/users/houzongming/repos,5,2,0,2,set(),1,1
chase,https://api.github.com/users/chase,https://github.com/chase,https://api.github.com/users/chase/repos,86,469,21,469,"{'MoonScript', 'TypeScript', 'Lua', 'VimL', 'C++', 'Ruby', 'JavaScript', 'Perl', 'CoffeeScript', 'Vim Script', 'Python'}",30,0
elasticdarwin,https://api.github.com/users/elasticdarwin,https://github.com/elasticdarwin,https://api.github.com/users/elasticdarwin/repos,7,7,2,7,"{'Java', 'C++', 'JavaScript'}",6,1
danbt79,https://api.github.com/users/danbt79,https://github.com/danbt79,https://api.github.com/users/danbt79/repos,8,0,0,0,"{'PHP', 'Ruby', 'CSS', 'JavaScript'}",10,1
howiworkdaily,https://api.github.com/users/howiworkdaily,https://github.com/howiworkdaily,https://api.github.com/users/howiworkdaily/repos,182,471,199,471,"{'JavaScript', 'Python'}",11,0
smmckay,https://api.github.com/users/smmckay,https://github.com/smmckay,https://api.github.com/users/smmckay/repos,3,7,3,7,"{'Java', 'CSS', 'JavaScript', 'Dockerfile', 'Rust', 'Python'}",22,1
sleepygiant,https://api.github.com/users/sleepygiant,https://github.com/sleepygiant,https://api.github.com/users/sleepygiant/repos,6,5,0,5,{'Ruby'},1,1
robwilkerson,https://api.github.com/users/robwilkerson,https://github.com/robwilkerson,https://api.github.com/users/robwilkerson/repos,22,149,96,149,"{'Swift', 'Elixir', 'PHP', 'Ruby', 'Astro', 'JavaScript', 'Go', 'CoffeeScript', 'Python'}",30,0
notonthehighstreet,https://api.github.com/users/notonthehighstreet,https://github.com/notonthehighstreet,https://api.github.com/users/notonthehighstreet/repos,11,60,8,60,"{'Java', 'Ruby', 'Shell', 'JavaScript', 'Go', 'Python'}",30,0
poteri,https://api.github.com/users/poteri,https://github.com/poteri,https://api.github.com/users/poteri/repos,3,0,0,0,"{'Python', 'JavaScript'}",3,1
siannopollo,https://api.github.com/users/siannopollo,https://github.com/siannopollo,https://api.github.com/users/siannopollo/repos,13,149,37,149,"{'C', 'CSS', 'Ruby', 'JavaScript', 'CoffeeScript', 'Objective-C'}",30,0
dbora,https://api.github.com/users/dbora,https://github.com/dbora,https://api.github.com/users/dbora/repos,20,3,0,3,"{'Ruby', 'HTML', 'Objective-C'}",7,1
u10int,https://api.github.com/users/u10int,https://github.com/u10int,https://api.github.com/users/u10int/repos,73,84,11,84,"{'Swift', 'VimL', 'Ruby', 'Shell', 'JavaScript', 'Dockerfile', 'Objective-C'}",30,0
victorz,https://api.github.com/users/victorz,https://github.com/victorz,https://api.github.com/users/victorz/repos,19,6,0,6,"{'Java', 'C', 'Vue', 'TypeScript', 'C++', 'Shell', 'JavaScript', 'Go'}",20,1
brycethornton,https://api.github.com/users/brycethornton,https://github.com/brycethornton,https://api.github.com/users/brycethornton/repos,54,13,1,13,"{'HTML', 'VimL', 'Crystal', 'PHP', 'Ruby', 'Python'}",14,0
alebedev,https://api.github.com/users/alebedev,https://github.com/alebedev,https://api.github.com/users/alebedev/repos,10,349,90,349,"{'Java', 'TypeScript', 'Ruby', 'Kotlin', 'JavaScript'}",7,0
mjturner,https://api.github.com/users/mjturner,https://github.com/mjturner,https://api.github.com/users/mjturner/repos,12,2,0,2,"{'C', 'CSS', 'Python', 'Makefile', 'Shell', 'Perl', 'Rust', 'JavaScript'}",14,1
eden,https://api.github.com/users/eden,https://github.com/eden,https://api.github.com/users/eden/repos,32,21,3,21,"{'Swift', 'HTML', 'C', 'ActionScript', 'C++', 'Ruby', 'JavaScript', 'Go'}",21,1
BrianAker,https://api.github.com/users/BrianAker,https://github.com/BrianAker,https://api.github.com/users/BrianAker/repos,44,9,3,9,"{'Makefile', 'Groovy', 'Objective-C', 'Vim script', 'VimL', 'Shell', 'JavaScript', 'Go', 'Slash', 'Python'}",30,0
letterj,https://api.github.com/users/letterj,https://github.com/letterj,https://api.github.com/users/letterj/repos,22,4,1,4,"{'Jupyter Notebook', 'Python', 'Haskell', 'TypeScript', 'Makefile', 'Vim script', 'Shell', 'Arduino', 'Go', 'Dockerfile', 'JavaScript'}",30,1
r7000,https://api.github.com/users/r7000,https://github.com/r7000,https://api.github.com/users/r7000/repos,4,2,0,2,{'Ruby'},2,1
tomasotosolini,https://api.github.com/users/tomasotosolini,https://github.com/tomasotosolini,https://api.github.com/users/tomasotosolini/repos,2,7,0,7,"{'Java', 'Ruby'}",4,1
slusnys,https://api.github.com/users/slusnys,https://github.com/slusnys,https://api.github.com/users/slusnys/repos,4,0,0,0,"{'Emacs Lisp', 'C++'}",4,1
msmith,https://api.github.com/users/msmith,https://github.com/msmith,https://api.github.com/users/msmith/repos,17,16,1,16,"{'HTML', 'Haskell', 'Scala', 'Ruby', 'JavaScript', 'Go'}",19,1
banbh,https://api.github.com/users/banbh,https://github.com/banbh,https://api.github.com/users/banbh/repos,6,0,0,0,"{'C#', 'HTML', 'Jupyter Notebook', 'JavaScript'}",6,1
giom,https://api.github.com/users/giom,https://github.com/giom,https://api.github.com/users/giom/repos,14,117,40,117,"{'Java', 'C', 'C++', 'Ruby', 'JavaScript'}",30,0
easco,https://api.github.com/users/easco,https://github.com/easco,https://api.github.com/users/easco/repos,8,46,14,46,"{'Elixir', 'Elm', 'Clojure', 'JavaScript'}",10,0
justingrammens,https://api.github.com/users/justingrammens,https://github.com/justingrammens,https://api.github.com/users/justingrammens/repos,42,28,13,28,"{'Java', 'HTML', 'C', 'Jupyter Notebook', 'Python', 'CSS', 'C++', 'JavaScript', 'Arduino', 'Go', 'Groovy'}",30,0
duncanmak,https://api.github.com/users/duncanmak,https://github.com/duncanmak,https://api.github.com/users/duncanmak/repos,40,10,0,10,"{'Java', 'C#', 'F#', 'HTML', 'CSS', 'Scheme', 'Emacs Lisp', 'TypeScript', 'Ruby', 'Clojure', 'JavaScript', 'Python'}",30,0
ctshh,https://api.github.com/users/ctshh,https://github.com/ctshh,https://api.github.com/users/ctshh/repos,4,2,0,2,set(),3,1
jdimauro,https://api.github.com/users/jdimauro,https://github.com/jdimauro,https://api.github.com/users/jdimauro/repos,20,34,1,34,"{'Java', 'C++', 'Ruby', 'Shell', 'Arduino'}",14,1
nopcoder,https://api.github.com/users/nopcoder,https://github.com/nopcoder,https://api.github.com/users/nopcoder/repos,31,2,0,2,"{'Java', 'C', 'C++', 'Go', 'CoffeeScript', 'JavaScript'}",30,1
peterb,https://api.github.com/users/peterb,https://github.com/peterb,https://api.github.com/users/peterb/repos,17,1,0,1,"{'Ruby', 'Shell'}",10,1
layton,https://api.github.com/users/layton,https://github.com/layton,https://api.github.com/users/layton/repos,18,8,3,8,"{'Ruby', 'Python'}",7,1
dalen,https://api.github.com/users/dalen,https://github.com/dalen,https://api.github.com/users/dalen/repos,118,35,12,35,"{'Java', 'TypeScript', 'Ruby', 'JavaScript', 'Elm', 'Go', 'Rust', 'Puppet', 'Python'}",30,0
tzuryby,https://api.github.com/users/tzuryby,https://github.com/tzuryby,https://api.github.com/users/tzuryby/repos,92,19,7,19,"{'Java', 'HTML', 'Objective-C', 'C++', 'Ruby', 'JavaScript', 'Go', 'Python'}",30,0
tlovett,https://api.github.com/users/tlovett,https://github.com/tlovett,https://api.github.com/users/tlovett/repos,3,0,0,0,"{'Python', 'JavaScript'}",4,1
elskwid,https://api.github.com/users/elskwid,https://github.com/elskwid,https://api.github.com/users/elskwid/repos,105,8,0,8,"{'Emacs Lisp', 'Ruby', 'JavaScript'}",30,0
nikonoid,https://api.github.com/users/nikonoid,https://github.com/nikonoid,https://api.github.com/users/nikonoid/repos,4,0,0,0,{'Ruby'},7,1
